Date,Volume,sign
2022-06-29,66375300,1
2022-06-30,97679400,0
2022-07-01,73021200,1
2022-07-05,76583700,1
2022-07-06,66958900,1
2022-07-07,57872300,1
2022-07-08,45719700,1
2022-07-11,53487600,0
2022-07-12,54280300,0
2022-07-13,61353800,1
2022-07-14,51163100,1
2022-07-15,84317800,1
2022-07-18,59115400,0
2022-07-19,60990000,1
2022-07-20,71268300,1
2022-07-21,60239900,1
2022-07-22,51463800,0
2022-07-25,50221300,0
2022-07-26,67075100,0
2022-07-27,61582000,1
2022-07-28,82245500,1
2022-07-29,148715600,1
2022-08-01,76846900,1
2022-08-02,61922400,0
2022-08-03,71827800,1
2022-08-04,70585000,1
2022-08-05,50650100,1
2022-08-08,52229000,0
2022-08-09,40434700,0
2022-08-10,54773800,0
2022-08-11,44867300,0
2022-08-12,47582800,1
2022-08-15,39014600,1
2022-08-16,59102900,1
2022-08-17,48149800,0
2022-08-18,37458700,1
2022-08-19,47727300,0
