v27




’νετο πάρκινγκ πληθώρα αγαθών και ποικιλία προϊόντων χαμηλές τιμές άνετος δρόμος από και προς το κατάστημα με ασφάλεια χωρίς κίνηση ειδικά τώρα το καλοκαίρι.



Τα προϊόντα είναι πολύ ακριβά
Νομίζω πως οι τιμές σας είναι πιο τσιμπημένες σε σχέση με τον Σκλαβενίτη. Αν δεν είχατε την κάρτα με τους πόντους ούτε κι εγώ θα ψώνιζα στον ΑΒ

10 με τόνο

Προσοχή στη συμπεριφορά υπαλλήλων



Δεν θέλω...απλά κ σαν καθαριότητα κ σαν ποικιλία κ σαν εξυπηρέτηση _υπαρχουν & οι εξαιρέσεις βεβαια_υστερει σε σχέση με άλλα καταστήματα
1) Αγορά αλειμμάτων parmegiano, που βρίσκω μόνο Θανόπουλο & Madona 2) Σούπες ψυγείου, βελουτε & ψαρόσουπα στον Σκλαβενίτη.
Ποικιλία στα βιολογικά





Θεωρώ ότι η εικόνα του μαναβικου μετά τις αλλαγές που έχουν γίνει στο προσωπικό τον τελευταίο χρόνο είναι χειρότερη. Επιτρέψτε μου να έχω αυτή την άποψη μιας και είμαι πελάτης σας είκοσι χρόνια.






Είναι πολύ εξυπηρετικοί και ευγενικοί όλοι στο κατάστημα!!Φιλικοί κ πρόθυμοι να σε εξυπηρετήσουν..ένα θετικό που με γοητεύει σε αυτό το κατάστημα είναι ο υπάλληλος που παρακολουθεί τους διαδρόμους μην κλέψει κανείς κάποιο προϊόν ή δεν γνωρίζει κάποιος πελάτης σε ποιο διάδρομο υπάρχει το προϊόν που επιθυμεί να αγοράσει.. σου συμπεριφερονται σαν οικογένεια κ όχι σαν 'ευρω' που πας να αφήσεις εκεί τα λεφτά σου!!!







Πάντα με βολεύει να κάνω τις αγορές μου στο κατάστημα ΑΒ. Είναι κοντά μου και έχει και πάρκινγκ για ποδήλατα. Είναι πάντα πολύ καθαρά και τακτοποιημένα, είμαι πολύ ευχαριστημένη!



Είμαι αρκετά ικανοποιημένη
Είμαι πολύ ευχαριστημένει με το κατάστημα ΑΒ
Olokliro ktirio k mono 2 mikroi orofoi leitourgoun
Το υπογειο μυρίζει άσχημα.




Δεν έχω κάτι να προσθέσω
Έχω βρει τα ίδια προιόντα σε άλλο SM  σε χαμηλότερες τιμές
κοντα στο σπιτι μου συλλογη ποντων πληθος προσφορων αξεπεραστη ποιοτητα

Ειμαι πολύ ευχαριστημενη σε όλα γιαυτο ψωνίζω παντα απο το καταστημα αβ βασιλοπουλος
Ψωνίζω χρόνια από τα ΑΒ αλλά τον τελευταίο καιρό πολλά λάθη στους πόντους.  Και κάθε φορά πιο πάνω οι τιμές.

Μπορεί ένας κολοσσός όπως ο ΑΒ να πάει καλύτερα

